year,week,max_temp_c,rainfall_mm,promo_flag,public_holiday_week,school_holiday_week,fuel_index
2021,1,13.02,9.1,1,1,1,1.47
2021,2,9.3,10.06,0,0,1,1.52
2021,3,10.9,10.95,0,0,0,1.513
2021,4,11.17,4.57,0,0,0,1.524
2021,5,11.15,8.39,0,0,0,1.514
2021,6,14.6,3.27,0,0,0,1.548
2021,7,9.53,7.45,1,0,0,1.54
2021,8,13.16,0.0,0,0,0,1.557
2021,9,12.01,14.71,0,0,0,1.477
2021,10,11.8,7.61,0,0,0,1.564
2021,11,14.86,4.77,0,0,0,1.513
2021,12,14.5,14.2,0,0,0,1.568
2021,13,18.29,6.92,0,1,0,1.576
2021,14,17.53,11.22,1,0,1,1.502
2021,15,21.06,5.41,0,0,1,1.551
2021,16,22.69,6.8,0,1,0,1.543
2021,17,22.27,15.47,0,1,0,1.545
2021,18,24.75,21.11,0,1,0,1.541
2021,19,25.53,13.78,0,0,0,1.524
2021,20,24.03,17.61,0,0,0,1.542
2021,21,25.93,24.25,0,0,0,1.543
2021,22,26.25,15.32,0,0,0,1.598
2021,23,27.12,4.93,0,0,0,1.58
2021,24,28.45,9.2,0,1,0,1.529
2021,25,29.39,17.11,0,1,0,1.485
2021,26,32.04,16.25,0,0,0,1.542
2021,27,32.83,15.75,0,0,1,1.545
2021,28,30.88,17.17,0,0,1,1.496
2021,29,31.18,10.05,0,0,0,1.479
2021,30,31.06,21.7,0,0,0,1.413
2021,31,30.74,17.74,0,0,0,1.423
2021,32,30.39,17.46,0,0,0,1.503
2021,33,27.92,18.89,0,0,0,1.478
2021,34,33.68,16.66,1,0,0,1.489
2021,35,28.1,19.21,0,0,0,1.447
2021,36,30.33,16.64,0,0,0,1.397
2021,37,29.97,22.74,0,0,0,1.463
2021,38,25.73,13.17,0,0,0,1.401
2021,39,26.41,18.41,0,0,1,1.426
2021,40,27.56,14.68,0,0,1,1.395
2021,41,28.8,12.42,0,1,0,1.406
2021,42,24.49,16.05,0,0,0,1.475
2021,43,20.2,11.13,1,0,0,1.418
2021,44,21.69,3.49,0,0,0,1.507
2021,45,17.79,13.22,0,0,0,1.455
2021,46,19.25,8.58,1,0,0,1.487
2021,47,18.0,10.38,0,0,0,1.509
2021,48,17.46,3.77,0,0,0,1.535
2021,49,17.7,10.21,0,0,0,1.515
2021,50,15.53,1.31,0,0,0,1.432
2021,51,13.08,7.19,0,0,1,1.409
2021,52,12.61,9.42,0,1,1,1.534
