Week,2021,2022,2023,2024,2025
1,2.86,2.59,2.74,2.98,2.85
2,2.61,2.79,2.86,3.13,2.94
3,2.94,2.77,2.73,2.86,3.17
4,2.99,2.75,2.86,2.75,2.78
5,2.49,2.84,3.09,2.82,3.04
6,2.63,3.19,2.66,2.89,2.98
7,2.93,2.8,3.08,3.44,3.05
8,2.89,3.18,5.6,2.95,3.33
9,3.0,2.75,3.0,3.3,3.3
10,2.91,3.05,2.9,3.05,3.5
11,3.28,3.2,3.23,3.44,3.29
12,3.33,3.34,3.19,3.41,3.26
13,3.27,3.43,3.4,3.38,3.42
14,3.53,3.52,3.43,3.47,3.57
15,3.48,3.39,3.79,3.43,3.63
16,3.32,3.44,3.53,3.7,3.48
17,3.61,3.75,3.46,3.61,3.76
18,3.44,3.63,3.75,3.54,3.85
19,3.84,3.5,3.82,3.6,4.33
20,3.73,3.59,4.09,3.92,4.28
21,3.76,3.68,4.05,4.23,3.84
22,3.73,3.99,4.01,4.03,4.0
23,4.11,3.97,4.26,4.02,3.83
24,3.9,4.11,3.82,4.13,4.02
25,3.88,3.93,3.95,4.35,4.22
26,3.92,4.06,3.92,4.17,4.4
27,4.09,4.16,4.03,4.07,4.06
28,4.07,3.99,3.85,4.35,4.08
29,4.07,4.13,4.21,4.22,3.81
30,4.06,3.91,4.04,6.4,4.15
31,4.35,3.95,3.8,4.14,3.97
32,3.86,3.91,3.85,3.86,4.04
33,3.8,3.73,4.05,3.8,3.94
34,3.7,3.99,4.1,4.3,4.03
35,3.91,3.76,4.26,4.26,3.68
36,3.94,3.79,4.37,3.86,3.68
37,3.66,3.82,3.85,3.76,4.26
38,3.46,3.74,3.53,4.03,3.58
39,3.4,3.71,3.26,3.49,3.55
40,3.59,3.5,3.62,3.46,4.0
41,3.53,3.37,3.35,3.67,4.12
42,3.43,3.36,3.35,3.41,3.32
43,3.14,3.0,3.25,3.41,3.39
44,3.23,2.98,3.26,3.31,3.45
45,3.14,2.93,3.41,3.33,3.63
46,3.1,2.93,3.19,3.46,3.08
47,3.16,3.12,3.07,3.17,3.16
48,2.99,2.84,2.86,3.22,3.29
49,3.03,2.89,2.7,2.69,3.18
50,2.88,3.15,2.88,3.01,3.0
51,2.89,2.82,2.93,2.84,3.01
52,2.93,3.0,3.24,2.75,2.77
